Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Note
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,,,#date+year,#indicator+type,#indicator+value+num,,
IDN,2000-01-01,2000-01-31,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2000,2000,,28.333531,X,base year is 2015
IDN,2001-01-01,2001-01-31,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2001,2001,,28.571918,X,base year is 2015
IDN,2002-01-01,2002-01-31,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2002,2002,,32.962249,X,base year is 2015
IDN,2003-01-01,2003-01-31,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2003,2003,,34.447211,X,base year is 2015
IDN,2004-01-01,2004-01-31,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2004,2004,,35.043191,X,base year is 2015
IDN,2005-01-01,2005-01-31,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2005,2005,,37.908823,X,base year is 2015
IDN,2006-01-01,2006-01-31,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2006,2006,,43.674856,X,base year is 2015
IDN,2007-01-01,2007-01-31,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2007,2007,,48.561831,X,base year is 2015
IDN,2008-01-01,2008-01-31,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2008,2008,,54.074585,X,base year is 2015
IDN,2009-01-01,2009-01-31,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2009,2009,,61.400070,X,base year is 2015
IDN,2010-01-01,2010-01-31,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2010,2010,,64.394838,X,base year is 2015
IDN,2011-01-01,2011-01-31,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2011,2011,,74.814428,X,base year is 2015
IDN,2012-01-01,2012-01-31,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2012,2012,,77.272815,X,base year is 2015
IDN,2013-01-01,2013-01-31,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2013,2013,,82.608531,X,base year is 2015
IDN,2014-01-01,2014-01-31,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2014,2014,,92.046827,X,base year is 2015
IDN,2015-01-01,2015-01-31,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2015,2015,,99.617779,X,base year is 2015
IDN,2016-01-01,2016-01-31,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2016,2016,,106.180832,X,base year is 2015
IDN,2017-01-01,2017-01-31,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2017,2017,,110.556201,X,base year is 2015
IDN,2018-01-01,2018-01-31,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2018,2018,,108.837306,X,base year is 2015
IDN,2019-01-01,2019-01-31,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2019,2019,,116.103544,X,base year is 2015
IDN,2020-01-01,2020-01-31,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2020,2020,,120.471124,X,base year is 2015
IDN,2021-01-01,2021-01-31,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2021,2021,,123.883904,X,base year is 2015
IDN,2022-01-01,2022-01-31,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2022,2022,,128.092999,X,base year is 2015
IDN,2023-01-01,2023-01-31,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2023,2023,,135.601114,X,base year is 2015
IDN,2000-02-01,2000-02-29,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2000,2000,,28.239171,X,base year is 2015
IDN,2001-02-01,2001-02-28,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2001,2001,,29.013932,X,base year is 2015
IDN,2002-02-01,2002-02-28,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2002,2002,,33.955536,X,base year is 2015
IDN,2003-02-01,2003-02-28,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2003,2003,,34.183993,X,base year is 2015
IDN,2004-02-01,2004-02-29,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2004,2004,,34.546547,X,base year is 2015
IDN,2005-02-01,2005-02-28,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2005,2005,,37.352581,X,base year is 2015
IDN,2006-02-01,2006-02-28,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2006,2006,,44.191369,X,base year is 2015
IDN,2007-02-01,2007-02-28,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2007,2007,,48.974045,X,base year is 2015
IDN,2008-02-01,2008-02-29,101,'360,Indonesia,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2008,2008,,54.938736,X,base year is 2015
